id,event_text,url,url_id,company,fiscal_year,fiscal_period,event_type,date,time,timezone
408,"Nov 23, 2020 at 8:30 AM EST Q3 2020 Navios Maritime Holdings Earnings Conference Call",https://navios.gcs-web.com/event-calendar,99,Navios Maritime Holdings,2020,Q3,Earnings Call,"Nov 23, 2020",08:30 AM,EST
538,"Celsius Holdings, Inc. Earnings Call Thursday May 10, 2018 2018-05-10",https://www.celsiusholdingsinc.com/investors/,134,"Celsius Holdings, Inc.",NONE,NONE,Earnings Call,"May 10, 2018",NONE,NONE
950,03/01/2021 02:40 PM ET The Cowen 41st Annual Health Care Conference Webcast (opens in new window),https://ir.cerus.com/news-and-events/annual-meeting/default.aspx,236,The Cowen,NONE,Y,Conference,"Mar 01, 2021",02:40 PM,ET
746,"JMP Securities 2021 Life Sciences Conference JUN 16, 2021 • 1:00PM EDT  Webcast",https://ir.syros.com/presentations,186,JMP Securities,2021,NONE,Conference,"Jun 16, 2021",01:00 PM,EDT
39,"Jun 01, 2021 1:10 PM ET Cowen 49th Annual Media & Telecom Conference Webcast",https://investor.juniper.net/investor-relations/events/default.aspx,9,Cowen,NONE,Y,Conference,"Jun 01, 2021",01:10 PM,ET
176,05.27.21 04:45 PM EDT	 Q1 2022 Guess Earnings Conference Call,https://investors.guess.com/events-and-presentations/upcoming-events,42,Guess,2022,Q1,Earnings Call,"May 27, 2021",04:45 PM,EDT
246,"Feb 24, 2021 at 10:30 AM EST Avista Corporation Q4 2020 Earnings Conference Call Click here for webcast",https://investor.avistacorp.com/events-and-presentations,59,Avista Corporation,2020,Q4,Earnings Call,"Feb 24, 2021",10:30 AM,EST
982,4.1.21 Argo Group Schedules First Quarter 2021 Earnings Release and Conference Call,https://www.argolimited.com/investors/presentations/,245,Argo Group,NONE,Q1,Earnings Release,"Feb 01, 2020",NONE,NONE
800,23rd Annual Needham Virtual Growth Conference 01/14/21 11:30 AM EST,https://ir.everbridge.com/events-presentations,196,Needham,NONE,Y,Conference,"Jan 14, 2021",11:30 AM,EST
1059,"Tuesday, August 3, 2021 9:00 AM CT Centerspace Q2 2021 Earnings Call",http://ir.iretapartments.com/event,266,Centerspace,2021,Q2,Earnings Call,"Aug 03, 2021",09:00 AM,CT
